"section","title","text","image","starts","ends"
"Single","Double Workshop: Invasive Pest Management and Noxious Weed Control","Join the Mancos Conservation District for a 2-for-1 workshop on Wednesday, June 3rd at Fozzie’s Farm (19760 Rd W, Lewis, CO). A $5 Registration Fee is required by 6/1/26 so we can get an accurate count for lunch. Please share any dietary restrictions with [Hannah](hannah.voye@co.nacdnet.net).

Schedule:

11:00 AM - 12:30 PM | Workshop #1 - Integrated Pest Management: Learn from engaging entomologist Mel Schreiner, CSU Extension Tri-River Area. She will help us identify insects and lead discussions on the important role they play in our environment and agriculture.

12:30 PM - 1:00 PM | Lunch: Provided by Mona Makes! Traditional lasagna with handmade noodles, steamed broccoli, garden salad, homemade breadsticks, and dessert.

1:30 PM - 3:00 PM | Workshop #2 - Noxious Weed Control: Montezuma County's own Emily Lockard, with CSU Extension, will lead a talk and walk to help identify and discuss treatment options for local weed concerns.

Event hosted by: Montezuma Land Conservancy, Colorado State University Extension, High Desert Conservation District, Mona Makes, and Mancos Conservation District.","Images/IPM-NWC-Flyer.jpg","2026-05-25","2026-06-02"
"Single","Invasive Pest Management and Noxious Weed Control","Double Workshop at Fozzie’s Farm – see the flyer for details","Images/IPM-NWC-Flyer.png","2026-05-26","2026-06-02"
"Single","Poetry Workshop at Mancos Library","Next Tuesday 6/2, poet Geneva Toland will be leading a FREE poetry workshop at the Mancos public library from 6-8pm, in partnership with Four Corners Writers. No writing experience necessary -- open to anyone who wants to explore and create with language! Come out and write!","Images/Poetry_workshop_flyer_Mancos.jpg","2026-05-26","2026-06-02"
"Single","Cortez Historic Preservation Walking Tours","Cortez, CO – The City of Cortez Historic Preservation Board will host free historical walking tours on Saturday, June 6.
Two guided tours will be available:
•            Downtown District Walking Tour: A stroll along Main Street exploring the businesses and events that shaped Cortez’s early commercial development.
•            Historic Montezuma Avenue Walking Tour: A look at the history and stories behind the homes along Montezuma Avenue.

Both tours last between one hour to 90 minutes.
Registration is required, but participation is free. Interested participants should reserve a ticket ahead of time via the links below or calling the Montezuma Heritage Museum at (970) 516 -1100. Eventbrite registration link: https://www.eventbrite.com/o/121076208969

A suggested donation of $5 will benefit the Montezuma Heritage Museum and may be provided at the time of the tour.
•            Saturday, June 6
o            Downtown District Tour: 10:00 AM
o            Montezuma Avenue Tour: 1:00 PM

All tours begin at the Montezuma Heritage Museum at 35 South Chestnut Street.
Participants are reminded to wear comfortable shoes, sun protection and bring a bottle of water and your curiosity.

For more information on the events for Historic Preservation Days, please visit: https://www.cortezco.gov/909/Historic-Preservation-Days","Images/Historic-Walking-Tours-2026.png","2026-05-26","2026-06-05"
"Single","Indigenous Poetry Reading at the Sunflower","Join us for an evening of powerful poetry and storytelling with local Indigenous poets Kirbie Bennett, Eirene Hamilton, and Esther Belin on Saturday, June 6th at the Sunflower Theater from 7-8:30pm.

In celebration of the theme “A Place We Call Home,” these three acclaimed Diné poets will share original work exploring identity, land, language, memory, and belonging. No matter your familiarity with poetry, this evening offers an opportunity to hear deeply rooted, moving, and inspiring voices from our region.
Tickets are sliding scale $15-$25, and can be found here: https://sunflowertheatre.org/product/8347/","Images/Indigenous-poetry-reading.png","2026-05-26","2026-06-06"
"Single","Poetry Workshop with Durango Poet Laureate Esther Belin","Join Esther Belin, the inaugural Poet Laureate of Durango, for an inspiring poetry workshop on Saturday, June 6th from 3:00–5:00 PM at the Sunflower Theater! Drawing on the work of Indigenous poets and other writers, participants will generate their own poems celebrating the places we call home. No writing experience necessary! Ages 13+ welcome. Register here: https://sunflowertheatre.org/product/a-place-we-call-home-poetry-workshop-with-esther-belin/","Images/Esther-sunflower-workshop.png","2026-05-26","2026-06-06"
"Recurring","City of Cortez April/May Events and Info","City Council Meeting

Third Thursdays begin June 18th – meet us in Montezuma Park!","Images/2026-Third-Thursdays.jpg","2026-05-26","2026-06-18"
"Recurring","Mancos Valley Farmers Market","The Mancos Valley Farmers market starts next week on Thursday, June 4th from 4 pm to 6:30pm....
Support your local farmers by picking up fresh seasonal veggies, baked goods, local eggs, art, and more!!

Thank you Mancos Valley Farmers Market for this cherished weekly event! See you at Boyle park!","Images/Mancos-Farmers-Market.png","2026-05-27","2026-06-04"
"Single","Medicine Horse Field Trip","SCYC is hosting a Medicine Horse Field Trip on Friday, June 5th from 9:00 AM to 1:00 PM! Space is limited to 15 students total, and is open to 2nd graders and older. Scan the QR code on the flyer to register before spots fill up!","Images/2026-KIDS-summer-camp.png","2026-05-27","2026-06-04"
"Single","Home Buyer Class in Cortez this Saturday","We still have some spots available this Saturday for our HBE class that I would love to fill. – See Flyer","Images/Cortez-HBE.jpg","2026-05-28","2026-05-30"
"Recurring","Adult Craft Nights","Adult Craft Nights are held on the first Thursday of each month at Mt.Lookout Grange in Mancos, CO. Registration is required (at abbyjfox.com) and donations are greatly appreciated!
*June 4 Adult Craft Night, 6-7:30Mandala river rocks","Images/Adult-Craft-Nights.jpg","2026-05-28","2026-06-04"
"Recurring","Family Adult Craft Nights","Adult Craft Nights are held on the first Thursday of each month at Mt.Lookout Grange in Mancos, CO. Registration is required (at abbyjfox.com) and donations are greatly appreciated!
*June 4 Family Crafternoon, 4:30-5:30Mandala river rocks","Images/Adult-Craft-Nights-Family.jpg","2026-05-28","2026-06-04"
"Single","Haunted Like Human Returns","Nashville duo Haunted Like Human is back on Thursday, June 4th at 7:30 PM. Known for their inspired songwriting, sparse arrangements, and frisson-inducing harmonies, they craft deeply moving, lyric-driven stories with the careful detail of a novelist. For tickets and info, visit doloresriverbrewery.com.","","2026-05-28","2026-06-04"
"Single","Summer Reading Kick-Off Party","With Summer rapidly approaching, it's about time for our favorite time of the year, Summer Reading!Join us at the Cortez Public Library on Thursday, June 4th, from 4-6 pm for our Summer Reading Kickoff Party. We'll have treats, crafts, face painting, minigolf, and more.It's also a great chance for Kids, Teens, & Adults to sign up for one of our Summer Reading Logs. Kids & Teens will get a free book upon sign-up.Anyone of all ages who turns in their log by the end of July will be entered into a drawing to win one of our Grand Prizes!","Images/Summer-Reading-Kickoff-2026.png","2026-05-28","2026-06-04"
"Multiple","League of Women Voters: Legislative Update Event","CO Representative Katie Stewart and CO Senator Cleave Simpson will report on the challenges they have faced balancing the state budget and address state issues of importance to Coloradans. Live event at the Cortez Public Library.

WHEN: Saturday, June 6, 2026 — 10:15 AM - 12:00 PM

WHERE: Cortez Public Library

Featured Speakers: CO Representative Katie Stewart, CO Senator Cleave Simpson","Images/Legislative-Update.png","2026-05-28","2026-06-05"
"Single","National Trails Day in Montezuma County","Join Mancos Trails Group and Osprey Packs in celebrating American Hiking Society’s National Trails Day! Give back to the trails you love on Saturday, June 6th with a trail maintenance volunteer event near you. Mancos Trails Group is hosting an event at Upper Chicken Creek Trailhead from 8:30am-3pm, lunch and drinks will be provided after the trail work. Participate for a chance to win some gear from Osprey Packs!

Find an event near you and sign up at: https://americanhiking.org/national-trails-day/find-an-event/","","2026-05-28","2026-06-05"
"Recurring","Live Shows at DRB","A summer of amazing artists - June edition
Hello DRB fans and music lovers. First and foremost, a profound thank you to all who continue to support the artists and the vision of the DRB to bring the best up and coming musical talent from wherever it is born. We could not do this without you!

I’m sending out this newsletter to let you all know about upcoming acts at the brewery, so you won’t miss something precious!  Also, if you don’t want to hear from me, just say so in a response to this letter, and I’ll make sure your email is eradicated from the list.  By the same token, if you know someone who would like to be kept in the loop, forward an email to me.
The Spotlight - local and regional solo and duo acts
Every Tuesday,  6:30 pm

[Learn More](https://www.doloresriverbrewery.com/?utm_campaign=d388846e-d6e2-4b05-9a37-013d4882750e&utm_source=so&utm_medium=mail)","","2026-05-28","2026-06-09"
