"Received","Starts","Expires","Section","Title","Text","Image","notes"
05/22/26,05/25/26,06/02/26,"Multiple","League of Women Voters: Republican Primary Candidate Forum – Montezuma County ","The Montezuma County League of Women Voters is hosting a candidate forum for the upcoming Republican Primary. This is an opportunity for local voters to hear directly from candidates seeking county leadership roles.

WHEN: June 3, 2026 — 6:00 PM - 8:00 PM

WHERE: Montezuma County Annex, 107 N. Chestnut St.

County Clerk & Recorder Candidates: Jerri Frizzell, Lenetta Shull

County Commissioner Candidates: Bonnie Anderson, Rodney Cox, Diane Fox-Spratlen",,
05/29/26,05/25/26,06/02/26,"Single","Double Workshop: Invasive Pest Management and Noxious Weed Control","Join the Mancos Conservation District for a 2-for-1 workshop on Wednesday, June 3rd at Fozzie’s Farm (19760 Rd W, Lewis, CO). A $5 Registration Fee is required by 6/1/26 so we can get an accurate count for lunch. Please share any dietary restrictions with [Hannah](hannah.voye@co.nacdnet.net).

Schedule:

11:00 AM - 12:30 PM | Workshop #1 - Integrated Pest Management: Learn from engaging entomologist Mel Schreiner, CSU Extension Tri-River Area. She will help us identify insects and lead discussions on the important role they play in our environment and agriculture.

12:30 PM - 1:00 PM | Lunch: Provided by Mona Makes! Traditional lasagna with handmade noodles, steamed broccoli, garden salad, homemade breadsticks, and dessert.

1:30 PM - 3:00 PM | Workshop #2 - Noxious Weed Control: Montezuma County's own Emily Lockard, with CSU Extension, will lead a talk and walk to help identify and discuss treatment options for local weed concerns.

Event hosted by: Montezuma Land Conservancy, Colorado State University Extension, High Desert Conservation District, Mona Makes, and Mancos Conservation District.","IPM-NWC-Flyer.jpg ",
05/26/26,05/26/26,06/02/26,"Single","Poetry Workshop at Mancos Library","Next Tuesday 6/2, poet Geneva Toland will be leading a FREE poetry workshop at the Mancos public library from 6-8pm, in partnership with Four Corners Writers. No writing experience necessary -- open to anyone who wants to explore and create with language! Come out and write!","Poetry_workshop_flyer_Mancos.jpg",
05/20/26,05/26/26,06/02/26,"Single","Invasive Pest Management and Noxious Weed Control","Double Workshop at Fozzie’s Farm – see the flyer for details","IPM-NWC-Flyer.png",
05/18/26,05/26/26,06/05/26,"Single","Cortez Historic Preservation Walking Tours","Cortez, CO – The City of Cortez Historic Preservation Board will host free historical walking tours on Saturday, June 6.
Two guided tours will be available:
•            Downtown District Walking Tour: A stroll along Main Street exploring the businesses and events that shaped Cortez’s early commercial development.
•            Historic Montezuma Avenue Walking Tour: A look at the history and stories behind the homes along Montezuma Avenue.
 
Both tours last between one hour to 90 minutes.
Registration is required, but participation is free. Interested participants should reserve a ticket ahead of time via the links below or calling the Montezuma Heritage Museum at (970) 516 -1100. Eventbrite registration link: https://www.eventbrite.com/o/121076208969
 
A suggested donation of $5 will benefit the Montezuma Heritage Museum and may be provided at the time of the tour.
•            Saturday, June 6
o            Downtown District Tour: 10:00 AM
o            Montezuma Avenue Tour: 1:00 PM
 
All tours begin at the Montezuma Heritage Museum at 35 South Chestnut Street.
Participants are reminded to wear comfortable shoes, sun protection and bring a bottle of water and your curiosity.
 
For more information on the events for Historic Preservation Days, please visit: https://www.cortezco.gov/909/Historic-Preservation-Days
","Historic-Walking-Tours-2026.png",
05/20/26,05/26/26,06/06/26,"Single","Poetry Workshop with Durango Poet Laureate Esther Belin ","Join Esther Belin, the inaugural Poet Laureate of Durango, for an inspiring poetry workshop on Saturday, June 6th from 3:00–5:00 PM at the Sunflower Theater! Drawing on the work of Indigenous poets and other writers, participants will generate their own poems celebrating the places we call home. No writing experience necessary! Ages 13+ welcome. Register here: https://sunflowertheatre.org/product/a-place-we-call-home-poetry-workshop-with-esther-belin/  ","Esther-sunflower-workshop.png",
05/20/26,05/26/26,06/06/26,"Single","Indigenous Poetry Reading at the Sunflower ","Join us for an evening of powerful poetry and storytelling with local Indigenous poets Kirbie Bennett, Eirene Hamilton, and Esther Belin on Saturday, June 6th at the Sunflower Theater from 7-8:30pm.

In celebration of the theme “A Place We Call Home,” these three acclaimed Diné poets will share original work exploring identity, land, language, memory, and belonging. No matter your familiarity with poetry, this evening offers an opportunity to hear deeply rooted, moving, and inspiring voices from our region.
Tickets are sliding scale $15-$25, and can be found here: https://sunflowertheatre.org/product/8347/ ","Indigenous-poetry-reading.png",
04/21/26,05/26/26,06/18/26,"Recurring","City of Cortez April/May Events and Info ","City Council Meeting
 
Third Thursdays begin June 18th – meet us in Montezuma Park!","2026-Third-Thursdays.jpg",
05/10/26,05/27/26,06/04/26,"Single","Medicine Horse Field Trip","SCYC is hosting a Medicine Horse Field Trip on Friday, June 5th from 9:00 AM to 1:00 PM! Space is limited to 15 students total, and is open to 2nd graders and older. Scan the QR code on the flyer to register before spots fill up!","2026-KIDS-summer-camp.png",
05/29/26,05/27/26,06/04/26,"Recurring","Mancos Valley Farmers Market ","The Mancos Valley Farmers market starts next week on Thursday, June 4th from 4 pm to 6:30pm....
Support your local farmers by picking up fresh seasonal veggies, baked goods, local eggs, art, and more!!

Thank you Mancos Valley Farmers Market for this cherished weekly event! See you at Boyle park!","Mancos-Farmers-Market.png",
05/28/26,05/28/26,05/30/26,"Single","Home Buyer Class in Cortez this Saturday","We still have some spots available this Saturday for our HBE class that I would love to fill. – See Flyer","Cortez-HBE.jpg",
05/20/26,05/28/26,06/04/26,"Single","Summer Reading Kick-Off Party ","With Summer rapidly approaching, it's about time for our favorite time of the year, Summer Reading!Join us at the Cortez Public Library on Thursday, June 4th, from 4-6 pm for our Summer Reading Kickoff Party. We'll have treats, crafts, face painting, minigolf, and more.It's also a great chance for Kids, Teens, & Adults to sign up for one of our Summer Reading Logs. Kids & Teens will get a free book upon sign-up.Anyone of all ages who turns in their log by the end of July will be entered into a drawing to win one of our Grand Prizes! ","Summer-Reading-Kickoff-2026.png",
05/19/26,05/28/26,06/04/26,"Recurring","Family Adult Craft Nights","Adult Craft Nights are held on the first Thursday of each month at Mt.Lookout Grange in Mancos, CO. Registration is required (at abbyjfox.com) and donations are greatly appreciated!
*June 4 Family Crafternoon, 4:30-5:30Mandala river rocks  ","Adult-Craft-Nights-Family.jpg",
05/19/26,05/28/26,06/04/26,"Recurring","Adult Craft Nights","Adult Craft Nights are held on the first Thursday of each month at Mt.Lookout Grange in Mancos, CO. Registration is required (at abbyjfox.com) and donations are greatly appreciated!
*June 4 Adult Craft Night, 6-7:30Mandala river rocks ","Adult-Craft-Nights.jpg",
05/06/26,05/28/26,06/04/26,"Single","Haunted Like Human Returns","Nashville duo Haunted Like Human is back on Thursday, June 4th at 7:30 PM. Known for their inspired songwriting, sparse arrangements, and frisson-inducing harmonies, they craft deeply moving, lyric-driven stories with the careful detail of a novelist. For tickets and info, visit doloresriverbrewery.com.",,
05/05/26,05/28/26,06/05/26,"Single","National Trails Day in Montezuma County","Join Mancos Trails Group and Osprey Packs in celebrating American Hiking Society’s National Trails Day! Give back to the trails you love on Saturday, June 6th with a trail maintenance volunteer event near you. Mancos Trails Group is hosting an event at Upper Chicken Creek Trailhead from 8:30am-3pm, lunch and drinks will be provided after the trail work. Participate for a chance to win some gear from Osprey Packs!

Find an event near you and sign up at: https://americanhiking.org/national-trails-day/find-an-event/",,
05/22/26,05/28/26,06/05/26,"Multiple","League of Women Voters: Legislative Update Event","CO Representative Katie Stewart and CO Senator Cleave Simpson will report on the challenges they have faced balancing the state budget and address state issues of importance to Coloradans. Live event at the Cortez Public Library.

WHEN: Saturday, June 6, 2026 — 10:15 AM - 12:00 PM

WHERE: Cortez Public Library

Featured Speakers: CO Representative Katie Stewart, CO Senator Cleave Simpson","Legislative-Update.png",
05/26/26,05/28/26,06/09/26,"Recurring","Live Shows at DRB","A summer of amazing artists - June edition
Hello DRB fans and music lovers. First and foremost, a profound thank you to all who continue to support the artists and the vision of the DRB to bring the best up and coming musical talent from wherever it is born. We could not do this without you!
 
I’m sending out this newsletter to let you all know about upcoming acts at the brewery, so you won’t miss something precious!  Also, if you don’t want to hear from me, just say so in a response to this letter, and I’ll make sure your email is eradicated from the list.  By the same token, if you know someone who would like to be kept in the loop, forward an email to me.
The Spotlight - local and regional solo and duo acts
Every Tuesday,  6:30 pm

[Learn More](https://www.doloresriverbrewery.com/?utm_campaign=d388846e-d6e2-4b05-9a37-013d4882750e&utm_source=so&utm_medium=mail)",,
05/19/26,05/31/26,06/07/26,"Recurring","Yoga with Meditation & Gong Sound Bath ","Join us at the Mancos Public Library (211 W 1st Street) or online via Zoom! Sessions are held on the first Sunday of every month with options at both 7:00 AM and 9:00 AM.","Colette.jpg",
05/29/26,06/01/26,06/09/26,"Single","“Thinking Like Water” Film Screening: Episode 2","Back by popular demand after our last sold-out event, join us at the Sunflower Theater on June 9th at 6:00 PM for an in-person screening of the second episode of the “Thinking Like Water” docuseries, “All About a Bird: 1000 Acts of Restoration,” followed by a panel featuring local restoration experts.

This episode highlights the endangered Gunnison Sage Grouse and how Bill Zeedyk, along with a host of partners and landowners, pull together to save this unique bird. This film is for everyone interested in restoring land and water through low-tech, hands-on methods and private land restoration to support bird habitat. The docuseries follows restoration pioneer Zeedyk and his collaborators as they transform degraded watersheds into more resilient ecosystems—fighting against the ravages of drought and climate change.

Scan the code or register at quiviracoalition.org/events/thinking-like-water-2.

Event hosted by: Quivira Coalition, Mountain Studies Institute, Mancos Conservation District, Montezuma Land Conservancy, and High Desert Conservation District. Photo credit: Bob Gress.","TLW-Flyer.jpg",
05/18/26,06/02/26,06/09/26,"Multiple","City of Cortez: Council Meeting","The next City Council meeting is scheduled for Tuesday, June 9th. Stay informed by signing up to receive City Council agenda notifications via email or text at https://www.cortezco.gov/list.aspx.",,
05/12/26,06/02/26,06/09/26,"Multiple","Talon Trail Series ","Travel across Montezuma County on foot this summer with the Talon Trail Series running June-September! Run 10k, 5k or walk 2mi. Snacks, hydration, finger foods, product demos and prizes await you at each event! Challenge yourself to attend all 4 events, participants in all events will get an exclusive T-shirt and be entered into a drawing for $100 in Cortez Cash and a new pair of running shoes from Run + Hike! This event is brought to you by the LOR Foundation, Squirrel Congress, Osprey, Run + Hike, the Galloping Goat Run Club, Dolores Bike Hostel, Cortez Retail Enhancement Association, Tailwind Nutrition, GU Energy Labs and Darn Tough.

Event Details:
June 9, Dolores Bike Hostel, 5:30pm
July 9, Chicken Creek Trailhead, 5:30pm
August 11, Boggy Draw Trailhead, 5:30pm
September 10, Run + Hike, 5:30pm
More info at squirrelcongress.com/run ","Community Run 2026.jpg",
05/27/26,06/04/26,06/11/26,"Single","Movie Club: Joy","Thursday, June 11th, 5:15 PM
""Joy"" follows a determined woman who overcomes personal and professional obstacles to establish a successful business empire.
Beverages and movie theatre popcorn are included. Run time: 2 hours 4 minutes. ","Movie-Night-JOY.jpg",
05/29/26,06/05/26,06/13/26,"Single","Four Corners Poetry Festival ","Join us for the inaugural Four Corners Poetry Festival, hosted by Durango Poet Laureate Esther Belin on Saturday, June 13th from 10am - 7pm at the Durango Public Library! This free, one-day festival will include workshops and readings from poets laureate from the Four Corners including Tommy Archuleta (Poet Laureate from Santa Fe), Jake Skeets (Poet Laureate from the Navajo Nation), Laura Tohe (Poet Laureate from Arizona), and Crisosto Apache (our newest appointed Poet Laureate from Colorado).

During the festival, we will also have a panel, community reading, book signings, and other poetry-loving activities. Past Western Slope Poet Laureate Art Goodtimes will also lead his widely celebrated ""Talking Gourds Sharing Circle.""

To see the full schedule and register for workshops, check out the [webpage](https://www.durangoco.gov/1881/Four-Corners-Poetry-Festival) 
All free and open to the public! Questions? [Email](evietoland@gmail.com
","Four-Corners-Poetry-Festival-Flyer.jpg",
05/18/26,06/06/26,06/12/26,"Single","Alive at 25 Defensive Driving Course","The Cortez Police Department is hosting the Alive at 25 Defensive Driving Course on Saturday, June 13th. Secure your spot and find course details at https://aliveat25.us/co/course-info?course_id=15067.","Alive-at-25.png",
05/28/26,06/06/26,06/13/26,"Single","Summer Reading Jurassic Park Showing","Summer Reading-Jurassic Park 1993 Saturday, June 13th, 1 PM 

We will unearth a classic movie about dinosaurs! The original that started it all! This film is rated PG-13. Beverages & Movie Theatre popcorn included.

Run time 2 hours 7 mins",,
05/18/26,06/08/26,06/14/26,"Multiple","City of Cortez Presents: Outgrow Your Garage","A Business Workshop

Ready to streamline your operations? Join the interactive workshop ""Make More, Do Less: Profitability Through Process"" on Monday, June 15th from 10:00 AM to 11:00 AM. Available both in-person and virtually, this workshop covers process mapping, software implementation, and strategic growth. [Register Now](https://www.cortezco.gov/FormCenter/Planning-Building-5/Business-Workshop-Registration-113)",,
05/18/26,06/11/26,06/18/26,"Recurring","Third Thursday in Montezuma Park","See flyer for more details","2026-Third-Thursdays.jpg",
05/06/26,06/12/26,06/19/26,"Multiple","Dolores River Brewing: Sweet Lizzy Project","Experience the electrifying pop-rock and classic rock heart of Sweet Lizzy Project on Friday, June 19th at 8:00 PM. After becoming the ""it band"" in Havana and earning major music nominations in Cuba, they relocated to Nashville. Led by a lightning bolt of a frontwoman and a powerhouse band, their sound features bold, vulnerable lyrics and incredible stage presence.

[Learn more](https://www.doloresriverbrewery.com)",,
05/06/26,06/13/26,06/20/26,"Multiple","Dolores River Brewing: J Roddy Walston","J Roddy Walston takes the stage on Saturday, June 20th at 7:30 PM. Expect a high-intensity, transformative live show that blends the fury of Kurt Cobain, the sweetness of Nilsson, and the power of Zeppelin. This is a performance built on raw movement, feeling, and beautiful chaos.

[Find details](https://www.doloresriverbrewery.com)",,
05/18/26,06/16/26,06/23/26,"Multiple","City of Cortez: Council Meeting","A City Council meeting will be held on Tuesday, June 23rd at 7:30 PM. Attend in person at 123 Roger Smith Avenue or watch the [live stream](https://www.cortezco.gov/497/City-Council-Live-Stream)",,
05/18/26,06/20/26,06/26/26,"Multiple","City of Cortez: Cortez Celtic Fair","Mark your calendars for the annual Cortez Celtic Fair on Saturday, June 27th! For schedule updates, vendor info, and entertainment lineups, follow the [official page](https://www.facebook.com/celticcortez)",,
04/22/26,06/23/26,07/07/26,"Single","Summer Farming Courses at the Old Fort ","The Old Fort is offering five farming courses this summer season! Join us for a 6-week course to grow knowledge about farming, plants, animals, and tools. All classes will be held in person at the Old Fort. Scholarships are available and if you are a farmer with employees who would like to attend courses, we are offering stipends to support you and your employees. Register here! 
July 7 - August 13 Plant Basics for Farmers (Wednesdays, 8-10am): Covers everything from plant propagation to seed saving and introduces the basics of botany and seed saving from multiple perspectives.    Growing Specialty Crops at High Elevation (Wednesdays, 10:30am-12pm): Instruction on the basics of crop culture in small-scale diversified vegetable production. It will focus on seed and site sections for harvesting, post-harvest handling, and marketing.","Summer-Farming-Courses-2026_Flyer.jpg",
05/18/26,06/27/26,07/03/26,"Single","4th of July Celebration in Parque De Vida","Celebrate Independence Day in Parque De Vida! Enjoy a classic car show from 12:00 PM to 4:00 PM, followed by live music from 3:00 PM to 10:00 PM. The day features a beer garden, food trucks, children's activities, and a local vendor village. (Find more details)(https://www.cortezco.gov/958/Fourth-of-July-Celebration)",,
05/02/26,10/31/26,11/07/26,"Single","Wildbelly Fermentation Fest","Wildbelly Fermentation Fest is a gathering to celebrate the magic of microbes.  Through education and hands-on learning we aim to make fermentation approachable and inspire others to connect with the cultures that transform simple ingredients into something extraordinary.  Taking place at the Mancos Community Center, November 7-8th. ",,
